"","x"
"450","Some Biases For Efficient Learning of Spatial, Temporal, and Spatio-Temporal Patterns."
"451","ftp:##ftp.idsia.ch#pub#marco#fast_q.ps.gz"
"452","Generative Learning Structures for Generalized Connectionist Networks."
"453","A Next Generation Neurally Based Autonomous Road Follower,"
"454","From isolation to cooperation: An alternative view of a system of experts."
"455","http:##www.cs.washington.edu#research#jair#volume7#monderer97a.ps"
"456","PAC learning axis-aligned rectangles with respect to product distributions from multiple-instance examples."
"457","Machine learning by function decomposition."
"458","The Bayesian Approach to Tree-Structured Regression."
"459","http:##www.pstat.ucsb.edu#~yuedong#papers#mixed.ps"
"460","Supervised learning from incom plete data via an EM approach."
"461","http:##www.neci.nj.nec.com#homepages#giles#papers#fault_tolerant.recurrent.net-dfa.ps.Z"
"462","Detecting features in spatial point processes with clutter via model-based clustering."
"463","""Gambling in a rigged casino: the adversarial multi-armed bandit problem,"""
"464","Sensitivities: an alternative to conditional probabilities for Bayesian belief networks."
"465","http:##www.cs.berkeley.edu#~johnw#papers#icnn94.ps.Z"
"466","Active learning with committees for text categorization."
"467","Developments in probabilistic modelling with neural networks| ensemble learning."
"468","""Covering vs. Divide-and-Conquer for Top-Down Induction of Logic Programs"","
"469","An inductive learning approach to prognostic prediction."
"470","MML mixture mod-elling of Multi-state, Poisson, von Mises circular and Gaussian distributions."
"471","ftp:##ftp.cs.uu.nl#pub#RUU#CS#techreps#CS-1993#1993-38.ps.gz"
"472","An Efficient Computational Model of Human Visual Attention."
"473","http:##www.bell-labs.com#user#seung#papers#minimax.ps.gz"
"474","ftp:##ftp.sics.se#pub#SICS-reports#Reports#SICS-R--95-12--SE.ps.Z"
"475","Some canonical properties of nonlinear systems, in Robust Control of Linear Systems and Nonlinear Control, M.A. Kaashoek,"
"476","Estimating Ratios of Normalizing Constants for Densities with Different Dimensions,"
"477","Massively parallel matching of knowledge structures."
"478","http:##www.cs.utoronto.ca#~dale#papers#colt95.ps.gz"
"479","ftp:##dimacs.rutgers.edu#pub#dimacs#TechnicalReports#TechReports#1996#96-56.ps.gz"
"480","Structural similarity as guidance in case-based design."
"481","A Model-Based Approach to Blame Assignment in Design."
"482","Task-oriented Knowledge Acquisition and Reasoning for Design Support Systems."
"483","Comparison of Bayesian and neural net unsupervised classification techniques."
"484","ftp:##ftp.cc.gatech.edu#pub#groups#ai#goel#murdock#ewcbr96.ps"
"485","http:##dna.stanford.edu#~cnevill#publications#ISMB98.ps.gz"
"486","http:##www.swi.psy.uva.nl#mlhl#desalles.ps"
"487","Expectation-Based Selective Attention."
"488","http:##www.ri.cmu.edu#afs#cs.cmu.edu#project#reinforcement#papers#vfbps98.ps"
"489","Efficient distribution-free learning of probabilistic concepts."
"490","Utilization Filtering: a method for reducing the inherent harmfulness of deductively learned knowledge,"
"491","Learning to Act using Real- Time Dynamic Programming."
"492","ftp:##ftp.cis.ohio-state.edu#pub#leon#Wang96#wang.tech96.ps.Z"
"493","Reinforcement Learning Algorithms for Average-Payoff Markovian Decision Processes."
"494","Exactly learning automata with small cover time."
"495","ftp:##theory.lcs.mit.edu#pub#people#danar#pebble.ps.gz"
"496","On the sample complexity of learning Bayesian networks."
"497","A tutorial on learning Bayesian networks."
"498","Ok. Scaling up average reward reinforcement learning by approx-imating the domain models and the value function."
"499","Visualizing high-dimensional structure with the incremental grid growing neural network."
"500","Transfer of Learning by Composing Solutions of Elemental Sequential Tasks,"
"501","Evolving obstacle avoidance behavior in a robot arm."
"502","Reinforcement Learning with Soft State Aggregation."
"503","Learning to predict by the methods of temporal differences."
"504","Integrated Architectures for Learning, Planning and Reacting Based on Approximating Dynamic Programming,"
"505","Generalization in reinforcement learning: Successful examples using sparse coarse coding."
"506","R.S., & Whitehead, S.D. (1993). Online learning with random representations."
"507","A Decision-theoretic Generalization of On-line Learning and an Application to Boosting."
"508","A new learning algorithm for blind signal separation."
"509","Avoiding overfitting with BP-SOM."
"510","Iterated revision and minimal revision of conditional beliefs."
"511","Issues in using function approximation for reinforcement learning."
"512","An Information Maximization Approach to Blind Separation and Blind Deconvolution."
"513","Operations for learning with graphical models."
"514","Empirical Analysis of the General Utility Problem in Machine Learning,"
"515","(1995) ""Comparison of Kernel Estimators, Perceptrons and Radial-Basis Functions for OCR and Speech Classification,"""
"516","Linking adaptation and similarity learning."
"517","Representing self-knowledge for introspection about memory search."
"518","Machine Learning: A Multistrategy Approach,"
"519","Introspective Reasoning using Meta-Explanations for Multistrat-egy Learning."
"520","(in press). A mean field learning algorithm for unsupervised neural networks."
"521","An investigation of noise-tolerant relational concept learning algorithms."
"522","http:##www.neci.nj.nec.com#homepages#bakker#UMD-CS-TR-3843.ps.gz"
"523","""Learning to avoid collisions: a reinforcement learning paradigm for mobile robot navigation"","
"524","(1995) Brightness perception, illusory contours, and corticogeniculate feedback."
"525","ftp:##ftp.cs.wisc.edu#Approx#perturb.ps.Z"
"526","Toward efficient agnostic learning."
"527","Design and Implementation of a Replay Framework based on a Partial order Planner."
"528","Learning to control fast-weight memories: An alternative to recurrent nets."
"529","http:##www.cs.nyu.edu#phd_students#parida#res#public#treeAlex98.ps.gz"
"530","Learning se-mantic grammars with constructive inductive logic programming."
"531","http:##www.cs.ucsd.edu#~calder#papers#PACT-98-DP.ps.Z"
"532","file:##ftp.cs.utexas.edu#pub#neural-nets#papers#haessly.cogsci95.ps.Z"
"533","http:##www.ri.cmu.edu#afs#cs.cmu.edu#user#dst#www#pubs#separating-maps.ps.gz"
"534","Active gesture recognition using partially observable markov decision processes."
"535","Every niching mehtod has its niche: Fitness sharing and implicit sharing compared."
"536","http:##www.cs.gatech.edu#computing#Telecomm#people#Phd#mjd#papers#aid98.ps.gz"
"537","http:##www.stern.nyu.edu#~aweigend#Research#Papers#BEFORENYU#experts-laser.ps.Z"
"538","ftp:##ftp.cnl.salk.edu#pub#marni#cg96bart.ps.Z"
"539","file:##ftp.cs.ucsd.edu#pub#baden#tr#GA_ipps96.ps.gz"
"540","Blue. Optimal decision trees."
"541","Regularization thory and neural networks architectures."
"542","A Theory of Networks for Approximation and Learning,"
"543","Indexing, Elaboration and Refinement: Incremental Learning of Explanatory Cases."
"544","A generalized hidden Markov model for the recognition of human genes in DNA."
"545","Optimality and domination in repeated games with bounded players."
"546","Efficient algorithms for learning to play repeated games against computationally bounded adversaries."
"547","A decision tree system for finding genes in dna."
"548","The Use of Neural Networks to Support ""Intelligent"" Scientific Computing."
"549","ftp:##ftp.icsi.berkeley.edu#pub#techreports#1992#tr-92-069.ps.gz"
"550","ftp:##ftp.icsi.berkeley.edu#pub#techreports#1991#tr-91-010.ps.gz"
"551","Reinforcement learning methods for continuous time markov decision problems."
"552","(1994) Classification using Hierarchical Mixtures of Experts."
"553","State-space abstraction for anytime evaluation of probabilistic networks."
"554","Measuring the difficulty of specific learning problems."
"555","Statistical biases in backpropagation learning."
"556","ftp:##ftp.icsi.berkeley.edu#pub#techreports#1998#tr-98-016.ps.gz"
"557","Learning symbolic rules using artificial neural networks."
"558","ftp:##ftp.gmd.de#gmd#concorde#mb_hans.NNonMIMD.ps.gz"
"559","Using Introspective Reasoning to Select Learning Strategies."
"560","""Extracting rules from artificial neural networks with distributed representations"","
"561","Toward optimal feature selection."
"562","Oblivious decision trees and abstract cases."
"563","Dietterich (1991). Learning with Many Irrelevant Features."
"564","Robot shaping: Developing autonomous agents though learning."
"565","http:##www.cs.princeton.edu#prism#papers-ps#sasha-bn2o-uai.ps"
"566","Bayesian unsupervised learning of higher order structure."
"567","Learning in the presence of malicious errors,"
"568","Comparing Bayesian model class selection criteria by discrete finite mixtures."
"569","Constructing bayesian finite mixture models by the EM algorithm."
"570","D.B. Leake. Modeling Case-based Planning for Repairing Reasoning Failures."
"571","http:##rgai00.inf.u-szeged.hu#rgai#techrep#115.ps.gz"
"572","""On the Markov equivalence of chain graphs, undirected graphs, and acyclic digraphs"","
"573","Constructing computationally efficient Bayesian models via unsupervised clustering. In Probabilistic BIBLIOGRAPHY 91 Reasoning and Bayesian Belief Networks,"
"574","http:##www.cs.rochester.edu#u#mucit#pubs#bu.ps.gz"
"575","Learning to use selective attention and short-term memory in sequential tasks."
"576","Feature selection methods for classifications. Intelligent Data Analysis:"
"577","http:##www.ai.mit.edu#people#jeannie#papers#acl98.ps"
"578","Incremental reduced error pruning."
"579","Determining mental state from EEG signals using neural networks."
"580","Reinforcement Learning: A Survey."
"581","Experiments on adding memory to XCS."
"582","Hill Climbing with Learning (An Abstraction of Genetic Algorithm)."
"583","Trading spaces: computation, representation and the limits of learning."
"584","Efficient algorithms for identifying relevant features."
"585","A statistical approach to decision tree modeling."
"586","""Free energy minimization algorithm for decoding and cryptanalysis"","
"587","Perceptual Development and Learning: From Behavioral, Neurophysiological and Morphological Evidence to Computational Models."
"588","Diffusion of credit in markovian models."
"589","ftp:##ftpipr.ira.uka.de#pub#conferences#EWLR-4#PROCEEDINGS#ewlr4_berns.ps.gz"
"590","ftp:##ftpipr.ira.uka.de#pub#conferences#EWLR-4#PROCEEDINGS#ewlr4_suna.ps.gz"
"591","""Recognizing handwritten digits using mixtures of linear models"","
"592","Nonlinear gated experts for time series: Discovering regimes and avoiding overfitting."
"593","http:##www-ai.ijs.si#AramKaralic#bibliography#1992b.ps"
"594","""Rule based database integration in HIPED:"
"595","Learning to achieve goals."
"596","Cryptographic limitations on learning boolean formulae and finite automata."
"597","ftp:##ftp.cs.wisc.edu#machine-learning#shavlik-group#allex.ismb97.ps"
"598","Modularity in a connectionist model of morphology acquisition,"
"599","Combining FOIL and EBG to speedup logic programs."
"600","Invariant face and object recognition in the visual system."
"601","http:##www.iro.umontreal.ca#labs#neuro#pointeurs#miss-nips8.ps"
"602","Algebraic transformations of objective functions."
"603","http:##www.arch.su.edu.au#~andres#ieee-expert96.ps"
"604","ftp:##ftp.cs.rochester.edu#pub#u#rao#papers#cort.ps.Z"
"605","http:##www.cogs.susx.ac.uk#users#gilesm#ecal97.ps"
"606","Memory-based Stochastic Optimization,"
"607","http:##www.ri.cmu.edu#afs#cs#usr#kdeng#www#paper#icml98-awm-kdeng.ps"
"608","Finding overlapping distributions with MML."
"609","Performance Prediction of Large MIMD Systems for Parallel Neural Network Simulations."
"610","Prototype and feature selection by sampling and random mutation hill climbing algorithms."
"611","Growing Cell Structures A Self-Organizing Network for Unsupervised and Supervised Learning,"
"612","""Exploration and model building in mobile robot domains"","
"613","On genetic algorithms."
"614","Instance-Based Learning with Genetically Derived Attribute Weights,"
"615","""Reinforcement learning in the multi-robot domain"","
"616","Decision tree induction: How effective is the greedy heuristic? In Proc."
"617","""Further facts about input to state stabilization,"""
"618","ftp:##ftp.cs.colorado.edu#users#mozer#papers#localist_attractor_net.ps"
"619","http:##www.cogs.susx.ac.uk#users#christ#papers#free-lunch.ps"
"620","GAL : Networks that grow when they learn and shrink when they forget,"
"621","Estimating dependency structure as a hidden variable."
"622","Learning to predict reading frames in E. coli DNA sequences."
"623","""Adaptive State Space Quantization for Reinforcement Learning of Collision-Free Navigation"","
"624","http:##www.cogs.susx.ac.uk#users#christ#papers#is-transfer-inductive.ps"
"625","ftp:##franklinite.mines.edu#pub#pratt-papers#pratt-clnlbook.ps.Z"
"626","http:##e9.ius.cs.cmu.edu:8000#~parag#research#papers#alvinn_tech_rep#alvinn_tech_rep.ps.gz"
"627","Experimenting with the Cheeseman-Stutz evidence approximation for predictive modeling and data mining."
"628","ftp:##ftp.stat.wisc.edu#pub#wahba#has.ps.gz"
"629","http:##www.research.att.com#~schapire#papers#FreundSc98.ps.Z"
"630","Simultaneous Multithreading: A Platform for Next-Generation Processors."
"631","http:##www.cs.cmu.edu#afs#cs.cmu.edu#project#link#www#papers#ps#gmm.ps"
"632","Convergence and New Operations in SDM."
"633","Improving Regressors using Boosting Techniques."
"634","ftp:##ftp.cs.helsinki.fi#pub#Reports#by_Project#Cosco#NEULA:_A_hybrid_neural-symbolic_expert_system_shell.ps.gz"
"635","Tracking the red queen: Measurements of adaptive progress in co-evolutionary simulations."
"636","http:##www.stat.cmu.edu#www#cmu-stats#tr#tr648#tr648.ps"
"637","Orgy in the computer: Multi-parent reproduction in genetic algorithms."
"638","http:##www.stat.washington.edu:80#tech.reports#tr268.ps"
"639","http:##www.cis.upenn.edu#~ungar#papers#nnet-intro.ps"
"640","On estimation of a probability density function and mode."
"641","Predicting lifetimes in dynamically allocated memory."
"642","ftp:##ftp.arch.su.edu.au#pub#KCDC#1995#sch-ger-learning-ai95.ps.gz"
"643","ftp:##ftp.cs.orst.edu#pub#tgd#papers#sfi.ps.gz"
"644","Exploiting structure in policy construction."
"645","ftp:##synapse.cs.byu.edu#pub#papers#martinez_88c.ps"
"646","Geyer. Markov chain Monte Carlo maximum likelihood."
"647","Field, ""Natural image statistics and efficient coding"","
"648","""Using Problem Generators to Explore the Effects of Epistasis,"""
"649","On the Virtues of Parameterized Uniform Crossover,"
"650","On the complexity of conditional logics."
"651","Learning sequential tasks by incrementally adding higher orders,"
"652","Learning factorial codes by predictability minimization."
"653","Statistical queries and faulty PAC oracles."
"654","file:##ftp.t.soka.ac.jp#users#unemi#papers#ALifeIV.ps.Z"
"655","Efficient dynamic-programming updates in partially observable Markov decision processes."
"656","Limits of Instruction-Level Parallelism,"
"657","http:##www.cs.cmu.edu#afs#cs#project#link#www#papers#ps#gmm.ps"
"658","ftp:##ftp.keck.ucsf.edu#pub#ken#constraints-nc.ps.gz"
"659","On the convergence of stochastic iterative dynamic programming algorithms."
"660","ftp:##ftp.cs.umass.edu#pub#techrept#techreport#1996#UM-CS-1996-070.ps"
"661","Information-Based Objective Functions for Active Data Selection,"
"662","Incremental grid growing: encoding high-dimensional structure into a two-dimensional feature map."
"663","C.M. (1997). A graphical characterization of lattice conditional independence models."
"664","""Using case based learning to improve genetic algorithm based design optimization"","
"665","""A genetic algorithm for continuous design space search"","
"666","Self-organized formation of typologically correct feature maps."
"667","http:##www.cs.princeton.edu#~durand#papers#MSA.ps"
"668","Self-Organization and Associative Memory,"
"669","Markov chain Monte Carlo methods based on ""slicing"" the density function."
"670","Pack Kaelbling. On the complexity of solving Markov decision problems."
"671","Creating advice-taking reinforcement learners."
"672","Dirichlet mixtures: A method for improving detection of weak but significant protein sequence homology. COS."
"673","Analysis and empirical studies of derivational analogy."
"674","http:##www.demo.cs.brandeis.edu#papers#adr97.ps.gz"
"675","Goal-directed Classification Using Linear Machine Decision Trees."
"676","http:##www.demo.cs.brandeis.edu#papers#ecal97.ps.gz"
"677","(1990) : Knowledge Acquisition via Knowledge Integration. In Current Trends in Knowledge Acquisition . Wielinga,B."
"678","Artificial evolution of visual control systems for robots."
"679","(1996) A compression algorithm for probability transition matrices."
"680","Bayesian Statistics 4,"
"681","http:##www.ri.cmu.edu#afs#cs.cmu.edu#project#reinforcement#papers#deng.multires.ps"
"682","and P.M. Long. Apple tasting and nearly one-sided learning."
"683","ftp:##ftp.ai.mit.edu#pub#users#oded#papers#piecewise-long.ps.Z"
"684","Vytopil. Design Issues Towards PREENS, a Parallel Research Execution Environment for Neural Systems."
"685","""Genetic and Non-Genetic Operators in Alecsys,"""
"686","Keeping neural networks simple by minimizing the description length of the weights."
"687","Learning to order things."
"688","ftp:##ftp.cs.bham.ac.uk#pub#tech-reports#1996#CSRP-96-07.ps.gz"
"689","A connectionist symbol manipulator that discovers the structure of context-free languages."
"690","""Self-organizing process based on lateral inhibition and synaptic resource redistribution,"""
"691","http:##www.cs.ubc.ca#spider#price#ICML98-1.ps.gz"
"692","Back, ""Face recognition: a convolutional neural network approach,"""
"693","Asynchronous modified policy iteration with single-sided updates."
"694","http:##www.wpi.edu#~mhchen#asaproc96.ps"
"695","On the sample complexity of noise-tolerant learning."
"696","http:##www.dcs.ex.ac.uk#~colin#papers#gwal98.ps"
"697","Deriving monotonic function envelopes from ob-servations."
"698","Resolving pp attachment ambiguities with memory based learning."
"699","(1997) ""Hierarchical mixture models in neurological transmission analysis,"""
"700","Rapid development of NLP modules with Memory-Based Learning."
"701","Learning arithmetic read-once formulas."
"702","Hidden Markov decision trees."
"703","Stochastic simulation algorithms for dynamic probabilistic networks."
"704","ftp:##cs.ucl.ac.uk#genetic#papers#surveyRN76.ps"
"705","Learning with Small Disjuncts,"
"706","Asking questions to minimize errors."
"707","Learning rules with local exceptions."
"708","Learning hierarchical rule sets."
"709","http:##www.eecs.umich.edu#RADLAB#sar_image_lab#umCarbonBW.ps.gz"
"710","http:##www-cse.ucsd.edu#users#gary#pubs#cogsci98.clouse.ps"
"711","http:##www.swi.psy.uva.nl#usr#maarten#iccbr.ps"
"712","http:##www.eecs.umich.edu#~shchoi#papers#dcc96.ps"
"713","Brian ""Case-based Planning with a High-Performance Parallel Memory,"""
"714","Optimal and asymptotically optimal equi-partition of rectangular domains via stripe decomposition."
"715","Exloration bonuses and dual control."
"716","""Critical points for least-squares problems involving certain analytic functions, with applications to sigmoidal nets,"""
"717","ftp:##ftp.cc.gatech.edu#pub#ai#goel#griffith#cogsci96.ps"
"718","Designing neural networks for adaptive control."
"719","Unsupervised discrimination of clustered data via optimization of binary information gain."
"720","A self-adjusting dynamic logic module."
"721","http:##www.ai.mit.edu#people#cpapa#publications#mixed-mem-cifer98.ps.gz"
"722","Learning decision strategies with genetic algorithms."
"723","An Efficient Transformation for Implementing Two-Layer FeedForward Neural Networks."
"724","http:##medusa.logistik.uni-bremen.de#Papers#fsp.ps"
"725","A VLSI Implementation of a Parallel, Self-Organizing Learning Model,"
"726","http:##medusa.logistik.uni-bremen.de#Papers#ieee.ps"
"727","http:##wwwipd.ira.uka.de#~prechelt#Biblio#iconip96.ps.gz"
"728","Case-based similarity assessment: Estimating adaptability from experience."
"729","Learning to integrate multiple knowledge sources for case-based reasoning."
"730","A case study of case-based CBR."
"731","Massive data discrimination via linear support vector machines."
"732","ftp:##ftp.cs.orst.edu#pub#tgd#papers#damper.ps.gz"
"733","ftp:##ftp.cs.wisc.edu#math-prog#tech-reports#tr1186.ps"
"734","Merge Strategies for Multiple Case Plan Replay."
"735","Rationale-supported mixed-initiative case-based planning."
"736","""A framework of combining symbolic and neural learning,"""
"737","Two algorithms for inducing structural equation models from data."
"738","Approximation with neural networks: Between local and global approximation."
"739","Orthogonal incremental learning of a feedforward network."
"740","ftp:##ftp.cs.bris.ac.uk#pub#users#cgc#ECML98#giraud-carrier.ps.Z"
"741","Learning continuous attractors in recurrent networks."
"742","Graph coloring with adaptive evolutionary algorithms."
"743","Simple neuron models for independent component analysis."
"744","Lazy acquisition of place knowledge."
"745","http:##www.cogs.susx.ac.uk#users#christ#papers#unsup-cons-learning.ps"
"746","Inductive database design."
"747","Possible world partition sequences: A unifying framework for uncertain reasoning."
"748","Using the Grow-and-Prune Network to Solve Problems of Large Dimensionality,"
"749","http:##www.stat-athens.aueb.gr#~ptd#Gaussian.ps.gz"
"750","http:##www.cs.cmu.edu#~baird#papers#metric#metric.ps"
"751","Memory-based learning for control."
"752","Evolving compact solutions in genetic programming: A case study."
"753","ftp:##ftp.stat.duke.edu#pub#WorkingPapers#97-23.ps"
"754","Har-vey (1993) Evolving Visually Guided Robots."
"755","A bound on the error of Cross Validation using the approxima-tion and estimation rates, with consequences for the training-test split."
"756","An experimental and theoretical comparison of model selection methods."
"757","Generalization of Clauses under Implication."
"758","ftp:##ftp.stat.duke.edu#pub#WorkingPapers#orderstats.ps"
"759","http:##www.isi.edu#~shen#Bayes-ML.ps"
"760","Bias, variance, and error correcting output codes for local learners."
"761","http:##www.cs.twsu.edu#~haynes#random.ps"
"762","http:##www.cs.purdue.edu#coast#archive#clife#GA#papers#tutor93.ps.gz"
"763","How to retrieve relevant information?."
"764","""Multistrategy Learning in Reactive Control Systems for Autonomous Robotic Navigation,"""
"765","http:##logic.stanford.edu#papers#on-site.ps"
"766","""A Study in Program Response and the Negative Effects of Introns in Genetic Programming,"""
"767","In defense of C4.5: Notes on learning one-level decision trees,"
"768","Data-oriented methods for grapheme-to-phoneme conversion."
"769","http:##www.ai.mit.edu#people#viola#research#publications#NIPS-95.ps.gz"
"770","http:##www.ai.mit.edu#projects#cbcl#web-pis#poggio#sparse-representation.ps.gz"
"771","On the sample complexity of finding good search strategies."
"772","Analyzing phase transitions in high-dimensional self-organizing maps."
"773","Comparison of neural and statistical classifiers|theory and practice."
"774","Adaptive load balancing: A study in multi-agent learning."
"775","http:##www.cs.toronto.edu#~frey#stsc.ps.Z"
"776","http:##euler.mcs.utulsa.edu#~sandip#aaai97ws-game.ps"
"777","""Factorial learning and the EM algorithm"","
"778","Cichocki and Abed Meraim K.""A Blind Identification and Separation Technique via Multi-layer Neural Networks"" Proc."
"779","Cardoso.""On the performance of source separation algorithms"" In Proc."
"780","""Local adaptive learning algorithms for blind separation of natural images"","
"781","Using and com-bining predictors that specialize."
"782","Naive bayesian classifier within ILP-R. In L."
"783","Nonsmooth dynamic simulation with linear programming based methods."
"784","Control of Parallel Population Dynamics by Social-Like Behavior of GA-Individuals."
"785","Proben1: A set of neural network benchmark problems and benchmarking rules."
"786","Learning to play the game of chess."
"787","A pre-processing model for integrating CBR and prototype-based neural networks,"
"788","PAC learning of one-dimensional patterns."
"789","Linden (1998). Model selection using measure functions."
"790","http:##www-cse.ucsd.edu#users#gary#pubs#noelle_attractor_cogsci96.ps"
"791","Simplifying decision trees: A survey."
"792","Looking at Markov samplers through CUM-SUM path plots: a simple diagnostic idea."
"793","ftp:##utstat.toronto.edu#pub#alisong#paper1.ps.Z"
"794","Coupled hidden markov models for modeling interacting processes."
"795","(1993) Bayesian inference for agricultural field experiments."
"796","A collection of algorithms for belief networks."
"797","ftp:##ftp.ensae.fr#pub#labo_stat#CPRobert#Discretiz.ps.gz"
"798","http:##www.ma.ic.ac.uk#statistics#links#stulinks#cch.link#gams.ps.gz"
"799","Monte-carlo reinforcement learning in non-Markovian decision problems."
"800","http:##www.cs.bris.ac.uk#Tools#Reports#Ps#1997-burdsall-0.ps.gz"
"801","http:##www.math.macalester.edu#~fox#cs88#papers#ECJ97baldwin.ps"
"802","http:##www.isle.org#~iba#dist-cs98.ps"
"803","Explanations of empirically derived reactive plans."
"804","Rieger (1996). Learning concepts from sensor data of a mobile robot."
"805","Diagnosing convergence of Markov chain Monte Carlo algorithms."
"806","ftp:##ftp.wins.uva.nl#pub#computer-systems#aut-sys#reports#SchLinKroGro96.ps.gz"
"807","Experiments with a regression-based causal induction algorithm. EKSL memo number 94-33,"
"808","""Learning sequential decision rules using simulation models and competition,"""
"809","Utilizing prior concepts for learning."
"810","Statistical ideas for selecting network architectures. Invited Presentation,"
"811","A statistical semantics for causation."
"812","All-to-all Broadcast on the CNS-1."
"813","http:##www.medg.lcs.mit.edu#ftp#leong#uai92.ps"
"814","A comparison of some error estimates for neural network models."
"815","(1996) ""Bayesian analysis of mixtures of mixtures,"""
"816","ftp:##ftp.wins.uva.nl#pub#computer-systems#aut-sys#reports#SchLinKroGro94.ps.gz"
"817","A Generalizing Adaptive Discriminant Network."
"818","http:##www.bmc.riken.go.jp#sensor#Allan#ICA#files#JFeusipco94_ML.ps.gz"
"819","http:##reconalpha.ius.cs.cmu.edu#~hamps#pubs.htmd#icassp96.ps.Z"
"820","Towards improving case adaptability with a genetic algorithm."
"821","Dynamic constraint satisfaction using case-based reasoning techniques."
"822","Quantifying prior determination knowledge using PAC learning model."
"823","http:##www.cs.orst.edu#~chown#papers#ml96-new.ps"
"824","http:##www.cogs.susx.ac.uk#users#christ#papers#virtual-seens.ps"
"825","http:##www.ai.univie.ac.at#ijcai_aim_ws#fujinaga.ps.Z"
"826","http:##www.aic.nrl.navy.mil#papers#1997#AIC-97-003.ps.Z"
"827","A mixture model system for medical and machine diagnosis."
"828","Backpropagation can give rise to spurious local minima even for networks without hidden layers."
"829","http:##www.cs.ualberta.ca#~greiner#PAPERS#accurate.ps"
"830","http:##www.cs.colostate.edu#~ftppub#TechReports#1994#tr-121.ps.Z"
"831","Complexity Compression and Evolution."
"832","ftp:##ftp.cs.indiana.edu#pub#techreports#TR361.ps.Z"
"833","http:##www.bath.ac.uk#Departments#Eng#wsc2#papers#kovacs.ps.gz"
"834","The RISE system: Conquering without separating."
"835","Genetic programming of minimal neural nets using occam\'s razor."
"836","Categorical perception of emotional facial expressions: Computer models and human performance."
"837","http:##www.rt.e-technik.tu-darmstadt.de#~mali#GP#gp96.ps.gz"
"838","Hyperplane Ranking in Simple Genetic Algorithms."
"839","http:##www.aic.nrl.navy.mil#~spears#papers#foga92.ps.gz"
"840","http:##www.cs.berkeley.edu#~nir#Papers#FGL1.ps"
"841","http:##www.robotics.stanford.edu#~koller#papers#aaai98fkp.ps"
"842","Constructive learning of recurrent neural networks."
"843","An optimal weighting criterion of case indexing for both numeric and symbolic attributes."
"844","http:##www.math.rutgers.edu#~sontag#FTP_DIR#saturated-stab.ps.gz"
"845","ftp:##cns.brown.edu#nin#papers#hong-kong.ps.Z"
"846","and Sylvia Richardson (1995). Model selection for generalized linear models via GLIB, with application to epidemiology. In Bayesian Biostatistics (D.A."
"847","""Using case-based reasoning to acquire user scheduling preferences that change over time,"""
"848","http:##www.eece.unm.edu#grad#tunstel#papers#acesi.ps"
"849","Unsupevised learning of distributions on binary vectors using two-layer networks."
"850","http:##www.cs.twsu.edu#~haynes#social.ps"
"851","http:##www.bell-labs.com#user#seung#papers#annealed.ps.gz"
"852","http:##www.media.mit.edu#~brave#publications#models.ps"
"853","http:##www.soton.ac.uk#~ajk#sonar.ps"
"854","http:##www.mli.gmu.edu#papers#eBjW.ias95.ps"
"855","""Using many-particle decomposition to get a parallel self-organising map,"""
"856","ftp:##ftp.gmd.de#ml-archive#GMD#papers#ML48.ps"
"857","Grefenstette (1990). ""Simulation-assisted learning by competition: Effects of noise differences between training model and target environment,"""
"858","Using a genetic algorithm to learn strategies for collision avoidance and local navigation."
"859","Rigorous learning curve bounds from statistical mechanics."
"860","Using Prior Knowledge in a NNDPA to Learn Context-Free Languages,"
"861","Learning stochastic feedforward networks."
"862","Generality versus size in genetic programming."
"863","Decision-theoretic foundations for causal reasoning."
"864","Jamshidi ""On Genetic Programming of Fuzzy Rule-Based Systems for Intelligent Control."""
"865","http:##www.stat.washington.edu:80#tech.reports#tr310.ps"
"866","""Balancing Accuracy and Parsimony in Genetic Programming,"""
"867","Space-efficient inference in dynamic probabilistic networks."
"868","http:##cswww.vuse.vanderbilt.edu#~dfisher#tech-reports#cs-92-12.ps"
"869","Hierarchical recurrent networks for long-term dependencies."
"870","Flat minima. Neural Computation."
"871","An enhancer for reactive plans."
"872","Evolutionary neural networks for value ordering in constraint satisfaction problems."
"873","Refining conversational case libraries."
"874","http:##www.isle.org#~iba#saDist.ps"
"875","Improving rule-based systems through case-based reasoning."
"876","Stacked density estimation."
"877","""A comparison of Q-learning and classifier systems,"" in From animals to animats 3 (D."
"878","Finding compact and sparse-distributed representations of visual images."
"879","""Shattering all sets of k points in \'general position\' requires (k 1)=2 parameters"","
"880","http:##www.cc.gatech.edu#faculty#ashwin#papers#er-94-05.ps.Z"
"881","ftp:##ftphost.comp.vuw.ac.nz#doc#vuw-publications#Staff#Eric-Jones#cognitive-science-91.ps.gz"
"882","Efficient estimation for the Cox model with interval censoring."
"883","ftp:##ftphost.comp.vuw.ac.nz#doc#vuw-publications#CS-TR-92#CS-TR-92-4.ps.gz"
"884","ftp:##ftp.ensae.fr#pub#labo_stat#CPRobert#Reparameterisation.ps.gz"
"885","A common lisp hypermedia server."
"886","Accounting for model uncertainty in survival analysis improves predictive performance (with Discussion). In Bayesian Statistics 5 (J.M."
"887","The out-of-bootstrap method for model averaging and selection."
"888","Prediction games and arcing algorithms."
"889","ftp:##hcrl.open.ac.uk#web#techreports#papers#tr97.ps.gz"
"890","A model-based approach for supporting dialogue inferencing in a conversational case-based reasoner."
